Vial ID,Storage container ID,Well coordinate,# of individuals,Recorded by,Original processing date,Identification,,,,,Fulcrum - Sorting App,,,Pinning,,,Fulcrum - Pinning App,,,local,range,Elevation,lat,long,trap,date,manager,trap
,,,,,,Taxon ID,ID date,ID'd by,ID references,Notes,Date sorting record created,Sorting record created by,Notes,Date pinned,Pinned by,Notes,Date pinning record created,Pinning record recorded by,Notes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRER_001.E.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,B1,1,Kmatthiesen,,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_001.W.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,B2,2,Kmatthiesen,,Apristus tuckeri,20221122,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_001.W.20220531.CARSP14.02,D14.2022.CARSP14.SRER.03,B3,1,Kmatthiesen,,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.E.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,B4,3,Kmatthiesen,,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.S.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,B5,1,Kmatthiesen,,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.W.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,C1,5,Kmatthiesen,,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_003.S.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,C2,1,Kmatthiesen,,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_005.S.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,C3,1,Kmatthiesen,,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_006.E.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,C4,1,Kmatthiesen,,Tetragonoderus intersectus,20221115,E.Martin,"Lindroth, 1969",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_006.E.20220531.CARSP14.02,D14.2022.CARSP14.SRER.03,C5,1,Kmatthiesen,,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_006.S.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,D1,1,Kmatthiesen,,Amara sp.,20221122,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,Want sp. ID,,,,,,,,,,,,,,,
SRER_007.E.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,D2,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_007.S.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,D3,4,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.E.20220531.CARSP14.02,D14.2022.CARSP14.SRER.03,D4,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.S.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,D5,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.W.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,E1,1,Kmatthiesen,,Discoderus robustus,20221122,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220531.CARSP14.01,D14.2022.CARSP14.SRER.03,E2,2,Kmatthiesen,,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,1 prob  not a carab in T08,,,,,,,,,,,,,,,
SRER_001.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.03,E3,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.03,E4,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.03,E5,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_004.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,A1,1,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",,20221129,E.Martin,Sel. in T08. res not in fulcrum,,,,,,,,,,,,,,,
SRER_005.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,A2,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_005.S.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,A3,1,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_005.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,A4,1,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_006.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,A5,1,Kmatthiesen,,Selenophorus sp.,20221128,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_006.E.20220614.CARSP14.02,D14.2022.CARSP14.SRER.04,B1,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_007.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,B2,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_007.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,B3,3,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,B4,2,Kmatthiesen,,Discoderus robustus,20221115,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.S.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,B5,6,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C1,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.E.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C2,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C3,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220614.CARSP14.02,D14.2022.CARSP14.SRER.04,C4,3,Kmatthiesen,,Tetragonoderus intersectus,20221115,E.Martin,"Lindroth, 1969",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_010.W.20220614.CARSP14.01,D14.2022.CARSP14.SRER.04,C5,1,Kmatthiesen,,Selenophorus sp. (likely S. planipennis),,,,[Det. Seleno. 20221117] Small individual--doesn't fully have the Selenophorus shape. Annoyed by the Parascutellar striae split in the key as Disco's also have this. But still leaning more towards Seleno.,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_001.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D1,2,Kmatthiesen,,Apristus tuckeri,20221115,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_002.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D2,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.S.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D3,3,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D4,8,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_003.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,D5,1,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_003.S.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,E1,1,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_003.S.20220628.CARSP14.02,D14.2022.CARSP14.SRER.04,E2,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_003.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,E3,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_003.W.20220628.CARSP14.02,D14.2022.CARSP14.SRER.04,E4,2,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",Maybe S. planipennis [EM],,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.04,E5,2,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",Maybe S. planipennis [EM],,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.E.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,A1,2,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_004.S.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,A2,1,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.S.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,A3,1,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_004.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,A4,1,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_004.W.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,A5,1,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_005.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,B1,1,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_006.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,B2,3,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",Metallic-like. No internal plica so not Abaris. Most like S. plannipennis(20221121 EM),,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_007.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,B3,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_007.E.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,B4,1,Kmatthiesen,,Selenophorus sp,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_007.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C1,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.E.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C2,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C3,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.S.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C4,1,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220628.CARSP14.01,D14.2022.CARSP14.SRER.05,C5,3,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_009.W.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,D1,2,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_010.W.20220628.CARSP14.02,D14.2022.CARSP14.SRER.05,D3,1,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,Possible Disco to add; but triple check it's a disco,,,,,,,,,,,,,,,
SRER_001.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,D4,8,Kmatthiesen,,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_002.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,D5,3,Kmatthiesen,,Discoderus robustus,20221116,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,E1,4,Kmatthiesen,,Selenophorus sp,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_003.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,E3,1,Kmatthiesen,,Harpalus obliquus cf. sp.,20221116,E.Martin,"Ball, 1972",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_003.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,E4,1,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_003.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.05,E5,2,Kmatthiesen,,Harpalus obliquus cf. sp.,20221116,E.Martin,"Ball, 1972",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_004.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,A1,2,Kmatthiesen,,Apristus tuckeri,20221122,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_004.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,A2,3,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,A3,2,Kmatthiesen,,Apristus tuckeri,20221122,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_004.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,A4,3,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_005.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,A5,4,Kmatthiesen,,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_006.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,B2,2,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_007.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,B3,3,Kmatthiesen,,Apristus tuckeri,20221123,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_007.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,B5,1,Kmatthiesen,,Apristus tuckeri,20221123,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_007.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,C2,4,Kmatthiesen,,Discoderus robustus,20221123,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_007.W.20220712.CARSP14.02,D14.2022.CARSP14.SRER.06,C3,1,Kmatthiesen,,Apristus tuckeri,20221123,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_008.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,C4,2,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_008.E.20220712.CARSP14.02,D14.2022.CARSP14.SRER.06,C5,3,Kmatthiesen,,Discoderus robustus,20221123,E.Martin,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,D1,1,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_008.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,D2,1,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
