Vial ID,Storage container ID,Well coordinate,# of individuals,Recorded by,Original processing date,Identification,,,,,Fulcrum - Sorting App,,,Pinning,,,Fulcrum - Pinning App,,,local,range,Elevation,lat,long,trap,date,manager,trap
SRER_009.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,D3,2,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_009.S.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,D4,3,Kmatthiesen,,Apristus tuckeri,20221123,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_009.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,D5,2,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_010.E.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,E1,4,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_010.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.06,E2,8,Kmatthiesen,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_002.E.20220726.CARSP14.01,D14.2022.CARSP14.SRER.06,E3,2,Kmatthiesen,,Discoderus robustus,20221123,E.Martin,"Arentt and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_002.S.20220726.CARSP14.01,D14.2022.CARSP14.SRER.06,E4,5,Kmatthiesen,,Discoderus robustus,20221123,E.Martin,"Arentt and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_003.W.20220726.CARSP14.01,D14.2022.CARSP14.SRER.07,A1,1,Kmatthiesen,,Bembidion poculare,20221201,R. Leal,"Lindroth, 1969",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_004.W.20220726.CARSP14.01,D14.2022.CARSP14.SRER.07,A2,2,Kmatthiesen,,Apristus tuckeri,20221101,R. Leal,"Casey, 1914",,20221214,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_007.E.20220726.CARSP14.01,D14.2022.CARSP14.SRER.07,A3,5,Kmatthiesen,,Selenophorus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_007.W.20220726.CARSP14.01,D14.2022.CARSP14.SRER.07,A4,2,Kmatthiesen,,Discoderus robustus,20221101,R. Leal,"Arnett and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_001.W.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,A5,1,Kmatthiesen,,Discoderus robustus,20221101,R. Leal,"Arnett and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_002.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,B1,4,Kmatthiesen,,Discoderus robustus,20221101,R. Leal,"Arnett and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_002.S.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,B2,2,Kmatthiesen,,Discoderus robustus,20221101,R. Leal,"Arnett and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_002.W.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,B3,5,Kmatthiesen,ASU,Discoderus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",2 ind. bit smaller & pronotum differs slightly,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_003.S.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,B4,1,Kmatthiesen,,Selenophorus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.S.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,B5,1,Kmatthiesen,,Selenophorus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.W.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,C1,1,Kmatthiesen,ASU,Discoderus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",Front tibias don't have spines on outer margin ,20221215,E.Martin,,,,,,,,,,,,,,,,
SRER_005.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,C2,1,Kmatthiesen,,Selenophorus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_006.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,C3,1,Kmatthiesen,,Selenophorus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_006.S.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,C4,2,Kmatthiesen,,Selenophorus sp.,20221101,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_007.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,D1,1,E.Martin,,Discoderus robustus,20221205,E.Martin,"Arnett and Thomas, 2001",,20221215,E.Martin,,,,,,,,,,,,,,,,
SRER_005.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,D2,1,Kmatthiesen,,Discoderus robustus,20221205,R. Leal,"Arnett and Thomas, 2001",,20221215,E.Martin,,,,,,,,,,,,,,,,
SRER_009.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,D3,1,Kmatthiesen,,Discoderus robustus,20221205,R. Leal,"Arnett and Thomas, 2001",,20221215,E.Martin,,,,,,,,,,,,,,,,
SRER_009.S.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,D4,1,Kmatthiesen,,Discoderus robustus,20221129,R. Leal,"Arnett and Thomas, 2001",,20221215,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,D5,3,Kmatthiesen,,Selenophorus sp.,20221205,R. Leal,"Arnett and Thomas, 2001",,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_010.E.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,E1,1,Kmatthiesen,,Discoderus robustus,20221205,R. Leal,"Arnett and Thomas, 2001",,20221215,E.Martin,,,,,,,,,,,,,,,,
SRER_010.W.20220809.CARSP14.01,D14.2022.CARSP14.SRER.07,E3,9,Kmatthiesen,ASU,Selenophorus sp.,20221205,R. Leal,"Arnett and Thomas, 2001","2 ind. extra light in color, super blond. at least 2 different sp.?",,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_010.W.20220809.CARSP14.03,D14.2022.CARSP14.SRER.07,E4,1,E.Martin,,,,,,For Rita,,,,,,,,,,,,,,,,,,
SRER_010.W.20220809.CARSP14.04,D14.2022.CARSP14.SRER.07,E5,1,E.Martin,,,,,,Super cool beet! Long-necked,,,,,,,,,,Colliuris pensylvanica [Det. E. Martin 20221207],,,,,,,,
SRER_002.E.20220503.CARSP14.03,D14.2022.CARSP14.SRER.08,A1,1,E.Martin,,Amara sp. (apachensis),20221020,E.Martin,"Arentt and Thomas, 2001",,20221129,E.Martin,Want sp. ID,,,,,,,,,,,,,,,
SRER_002.W.20220503.CARSP14.03,D14.2022.CARSP14.SRER.08,A2,1,E.Martin,ASU,Discoderus robustus,20221115,E.Martin,"Arentt and Thomas, 2001",[Det. D robustus 11/23]Weird looking possible Disco. Possibly a diff species or another genus altogether. Feel good about Harpalini. Led to Disco. 3 times. ,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220712.CARSP14.01,D14.2022.CARSP14.SRER.08,A3,1,E.Martin,,Tetragonoderus pallidus,20221214,E.Martin,"Lindroth, 1969",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_006.E.20220503.CARSP14.02,D14.2022.CARSP14.SRER.08,A4,7,E.Martin,,Amara sp.,20221115,E.Martin,"Arentt and Thomas, 2001","Leaning towards Bradytus, but one or more could be Curtonotus",20221129,E.Martin,Want sp. ID,,,,,,,,,,,,,,,
SRER_006.S.20220503.CARSP14.02,D14.2022.CARSP14.SRER.08,A5,2,E.Martin,,Amara sp.,20221115,E.Martin,"Arentt and Thomas, 2001",,20221129,E.Martin,Want sp. ID,,,,,,,,,,,,,,,
SRER_004.W.20220712.CARSP14.02,D14.2022.CARSP14.SRER.08,B1,1,E.Martin,,Bembidion poculare,20221214,E.Martin,"Lindroth, 1969",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_006.E.20220712.CARSP14.04,D14.2022.CARSP14.SRER.08,B2,1,E.Martin,,Harpalus sp.,20221206,E.Martin,"Ball, 1972",Hope to get to sp.,,,Wait for sp. ID,,,,,,,HARP,,,,,,,,
SRER_006.E.20220517.CARSP14.03,D14.2022.CARSP14.SRER.08,B3,1,E.Martin,ASU,Selenophorus sp.,,,,"[Det. Selenophorus 20221117] Selenophorus or Disco. Small size, 5 spines on front tibia, squared pronotum, but single eyelash and not fully Selenophorus-matching pronotum.",,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_006.E.20220719.CARSP14.01,D14.2022.CARSP14.SRER.08,B4,1,E.Martin,,Selenophorus sp.,,,,,,,,,,,,,,,,,,,,,,
SRER_002.W.20220517.CARSP14.02,D14.2022.CARSP14.SRER.08,B5,1,E.Martin,ASU,Likely Discoderus robustus,20221123,E.Martin,"Arentt and Thomas, 2001","Matches Disco, but no spines on front tibia--Prob an anomaly",20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_005.E.20220726.CARSP14.01,D14.2022.CARSP14.SRER.08,C1,1,E.Martin,,Selenophorus sp.,,,,,,,,,,,,,,,,,,,,,,
SRER_002.S.20220726.CARSP14.02,D14.2022.CARSP14.SRER.08,C2,1,E.Martin,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_005.W.20220726.CARSP14.01,D14.2022.CARSP14.SRER.08,C3,1,E.Martin,,Discoderus robustus,20221206,E.Martin,"Arentt and Thomas, 2001",,20221206,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220531.CARSP14.02,D14.2022.CARSP14.SRER.08,C4,1,E.Martin,,Tetragonoderus intersectus,20221115,E.Martin,"Lindroth, 1969",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.E.20220614.CARSP14.02,D14.2022.CARSP14.SRER.08,D1,1,E.Martin,,Chlaenius pimalicus,20221115,E.Martin,"Arentt and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_010.W.20220614.CARSP14.02,D14.2022.CARSP14.SRER.08,D2,1,E.Martin,,Apristus tuckeri,20221115,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_003.W.20220712.CARSP14.02,D14.2022.CARSP14.SRER.08,D3,1,E.Martin,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_004.W.20220614.CARSP14.02,D14.2022.CARSP14.SRER.08,D4,1,E.Martin,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_009.W.20220614.CARSP14.03,D14.2022.CARSP14.SRER.08,D5,1,E.Martin,,Apristus tuckeri,20221116,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_006.S.20220726.CARSP14.01,D14.2022.CARSP14.SRER.08,E1,1,E.Martin,,Harpalus sp.,20221206,E.Martin,"Ball, 1972",Want to get to sp.,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_008.E.20220517.CARSP14.02,D14.2022.CARSP14.SRER.08,E2,1,E.Martin,ASU,,,,,"In Disco tube, but 5 spines on front tibia and female without deflexed plate on ventrite 6.",,,,,,,,,,,,,,,,,,
SRER_006.E.20220712.CARSP14.02,D14.2022.CARSP14.SRER.08,E3,1,E.Martin,ASU,Agonoleptus conjunctus,20221123,E.Martin,"Arnett and Thomas, 2001","Tiny, tiny beetle. Organge, cordate pronotum.",20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_006.E.20220712.CARSP14.03,D14.2022.CARSP14.SRER.08,E4,1,E.Martin,,Discoderus robustus,20221122,E.Martin,"Arentt and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_007.E.20220712.CARSP14.03,D14.2022.CARSP14.SRER.08,E5,1,E.Martin,,Bembidion poculare,20221123,E.Martin,"Lindroth, 1969",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_007.E.20220712.CARSP14.03,D14.2022.CARSP14.SRER.09,A1,1,E.Martin,,Tetragonoderus pallidus,20221123,E.Martin,"Lindroth, 1969",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_008.E.20220712.CARSP14.03,D14.2022.CARSP14.SRER.09,A2,1,E.Martin,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_009.E.20220712.CARSP14.02,D14.2022.CARSP14.SRER.09,A3,1,E.Martin,,Apristus tuckeri,20221123,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_002.E.20220726.CARSP14.02,D14.2022.CARSP14.SRER.09,A4,1,E.Martin,,Apristus tuckeri,20221123,E.Martin,"Casey, 1914",,20221129,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_002.E.20220726.CARSP14.03,D14.2022.CARSP14.SRER.09,A5,2,E.Martin,,Selenophorus sp.,,,,,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_010.W.20220628.CARSP14.03,D14.2022.CARSP14.SRER.09,B1,1,R. Leal,ASU,Discoderus robustus,20221123,R. Leal,"Arnett and Thomas, 2001",Found in vial with 21 Selenophorus!,,,Wait for sp. ID before putting in tube with other Discos,,,,,,,,,,,,,,,
SRER_007.E.20220712.CARSP14.04,D14.2022.CARSP14.SRER.09,B2,8,R. Leal,,Discoderus robustus,20221129,R. Leal,"Arnett and Thomas, 2001",,20221129,E.Martin,,,,,,,,,,,,,,,,
SRER_006.W.20220809.CARSP14.02,D14.2022.CARSP14.SRER.09,B3,4,R. Leal,ASU,Selenophorus sp.,20221129,R. Leal,"Arnett and Thomas, 2001",Tiny Seleno maybe diff sp. than other three.,,,Wait for sp. ID,,,,,,,,,,,,,,,
SRER_006.W.20220809.CARSP14.03,D14.2022.CARSP14.SRER.09,B4,2,R. Leal,,Harpalus sp.,20221129,R. Leal,"Ball, 1972",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_009.S.20220809.CARSP14.02,D14.2022.CARSP14.SRER.09,B5,9,R. Leal,,Apristus tuckeri,20221130,R. Leal,"Casey, 1914",1 ind. without trochs and 1 broken ind. loose abdomen,20221214,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_009.S.20220809.CARSP14.03,D14.2022.CARSP14.SRER.09,C1,4,R. Leal,,Selenophorus sp.,20221130,R. Leal,"Arnett and Thomas, 2001",,,,,,,,,,,,,,,,,,,
SRER_007.E.20220712.CARSP14.04,D14.2022.CARSP14.SRER.09,C2,2,E.Martin,ASU,Selenophorus sp.,,,,2 without fovate puncture in elytra. Likely other Seleno. sp. than in other tube,,,,,,,,,,,,,,,,,,
SRER_010.W.20220628.CARSP14.04,D14.2022.CARSP14.SRER.09,C3,1,E.Martin,,Selenophorus concinnus cf sp.,20221130,E.Martin,"Messer and Raber, 2021",,,,,,,,,,,,,,,,,,,
SRER_007.E.20220726.CARSP14.02,D14.2022.CARSP14.SRER.09,C4,1,R. Leal,,Apristus tuckeri,20221201,R. Leal,"Casey, 1914",,20221214,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_001.W.20220809.CARSP14.02,D14.2022.CARSP14.SRER.09,C5,2,R. Leal,,Selenophorus sp.,20221201,R. Leal,"Arnett and Thomas, 2001",,,,,,,,,,,,,,,,,,,
SRER_002.E.20220809.CARSP14.02,D14.2022.CARSP14.SRER.09,D1,1,R. Leal,,Harpalus sp.,20221201,R. Leal,"Ball, 1972",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_002.E.20220809.CARSP14.03,D14.2022.CARSP14.SRER.09,D2,1,R. Leal,,Selenophorus sp.,20221201,R. Leal,"Arnett and Thomas, 2001",,,,,,,,,,,,,,,,,,,
SRER_002.S.20220809.CARSP14.02,D14.2022.CARSP14.SRER.09,D3,1,R. Leal,,Selenophorus sp.,20221201,R. Leal,"Arnett and Thomas, 2001",,,,,,,,,,,,,,,,,,,
SRER_006.S.20220809.CARSP14.02,D14.2022.CARSP14.SRER.09,D4,1,R. Leal,,Discoderus robustus,20221201,R. Leal,"Arnett and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_006.S.20220809.CARSP14.03,D14.2022.CARSP14.SRER.09,D5,1,R. Leal,,Harpalus sp.,20221201,R. Leal,"Ball, 1972",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_006.S.20220809.CARSP14.04,D14.2022.CARSP14.SRER.09,E1,1,R. Leal,,Tetragonoderus intersectus,20221201,R. Leal,"Lindroth, 1969",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_009.W.20220809.CARSP14.02,D14.2022.CARSP14.SRER.09,E2,2,R. Leal,,Discoderus robustus,20221205,R. Leal,"Arnett and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_010.W.20220809.CARSP14.02,D14.2022.CARSP14.SRER.09,E3,1,R. Leal,,Discoderus robustus,20221205,R. Leal,"Arnett and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_006.W.20220726.CARSP14.01,D14.2022.CARSP14.SRER.09,E4,3,E.Martin,,Selenophorus sp.,,,,,,,,,,,,,,,,,,,,,,
SRER_006.W.20220726.CARSP14.02,D14.2022.CARSP14.SRER.09,E5,1,E.Martin,,Harpalus sp.,20221206,E.Martin,"Ball, 1972",Want to get to sp.,20221214,E.Martin,Want sp. ID,,,,,,,HARP,,,,,,,,
SRER_008.S.20220726.CARSP14.01,D14.2022.CARSP14.SRER.10,A1,1,E.Martin,,,,,,,,,,,,,,,,,,,,,,,,
SRER_008.E.20220726.CARSP14.01,D14.2022.CARSP14.SRER.10,A2,1,E.Martin,,Discoderus robustus,20221206,E.Martin,"Arentt and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
SRER_008.W.20220726.CARSP14.01,D14.2022.CARSP14.SRER.10,A3,1,E.Martin,,Selenophorus sp.,,,,,,,,,,,,,,,,,,,,,,
SRER_009.W.20220726.CARSP14.01,D14.2022.CARSP14.SRER.10,A4,3,E.Martin,,Selenophorus sp.,,,,,,,,,,,,,,,,,,,,,,
SRER_010.E.20220726.CARSP14.01,D14.2022.CARSP14.SRER.10,A5,1,E.Martin,,,,,,Cool beet! Tiger,,,,,,,,,,Cylindera lemniscata [Det. E. Martin 202221207],,,,,,,,
SRER_010.W.20220726.CARSP14.01,D14.2022.CARSP14.SRER.10,B2,1,E.Martin,,Selenophorus sp.,,,,,,,,,,,,,,,,,,,,,,
SRER_010.W.20220726.CARSP14.02,D14.2022.CARSP14.SRER.10,B3,1,E.Martin,,Apristus tuckeri,20221206,E.Martin,"Casey, 1914",,20221214,E.Martin,res not in fulcrum,,,,,,,,,,,,,,,
SRER_005.S.20220809.CARSP14.01,D14.2022.CARSP14.SRER.10,B4,2,E.Martin,,Selenophorus sp.,,,,,,,,,,,,,,,,,,,,,,
SRER_008.S.20220809.CARSP14.01,D14.2022.CARSP14.SRER.10,B5,5,E.Martin,,Discoderus robustus,20221206,E.Martin,"Arentt and Thomas, 2001",,20221214,E.Martin,,,,,,,,,,,,,,,,
